host_ts,esp_t_us,free_heap,min_free_heap,stack_hwm,avg_period_us,max_period_us,avg_read_us
1780853126.158022,20863017,298612,298612,7392,101000,110000,34783
1780853127.158249,21863017,298612,298612,7392,100000,100001,34782
1780853128.168934,22873017,298612,298612,7392,101000,110000,34783
1780853129.167964,23873017,298612,298612,7392,100000,100001,34783
1780853130.169210,24873017,298612,298612,7392,100000,100001,34783
1780853131.178115,25883017,298612,298612,7392,101000,110000,34783
1780853132.178175,26883017,298612,298612,7392,100000,100001,34783
1780853133.278757,27983017,298612,298612,7392,100000,100001,34783
1780853134.288714,28993017,298612,298612,7392,101000,110000,34783
1780853135.288404,29993017,298612,298612,7392,100000,100000,34783
1780853136.298145,31003018,298612,298612,7392,101000,110000,34783
1780853137.397834,32103017,298612,298612,7392,99999,100000,34783
1780853138.397981,33103017,298612,298612,7392,100000,100001,34782
1780853139.407992,34113017,298612,298612,7392,101000,110000,34783
1780853140.407825,35113017,298612,298612,7392,100000,100000,34783
1780853141.408082,36113017,298612,298612,7392,100000,100000,34783
1780853142.418041,37123017,298612,298612,7392,101000,110000,34783
1780853143.418070,38123017,298612,298612,7392,100000,100001,34783
1780853144.427840,39133017,298612,298612,7392,101000,110001,34783
1780853145.427766,40133017,298612,298612,7392,100000,100000,34783
1780853146.427759,41133017,298612,298612,7392,100000,100000,34783
1780853147.437943,42143017,298612,298612,7392,101000,110000,34783
1780853148.437968,43143017,298612,298612,7392,100000,100001,34783
1780853149.437730,44143017,298612,298612,7392,100000,100001,34783
1780853150.447550,45153017,298612,298612,7392,101000,110000,34783
1780853151.447799,46153017,298612,298612,7392,100000,100001,34783
1780853152.457932,47163017,298612,298612,7392,101000,110000,34783
1780853153.457917,48163017,298612,298612,7392,100000,100000,34783
1780853154.457879,49163017,298612,298612,7392,100000,100000,34783
1780853155.467884,50173017,298612,298612,7392,101000,110000,34783
1780853156.467790,51173017,298612,298612,7392,100000,100002,34783
1780853157.468586,52173017,298612,298612,7392,100000,100001,34783
1780853158.477880,53183017,298612,298612,7392,101000,110000,34783
1780853159.477758,54183018,298612,298612,7392,100000,100001,34783
1780853160.587912,55293017,298612,298612,7392,100909,110000,34783
1780853161.587905,56293018,298612,298612,7392,100000,100001,34783
1780853162.686404,57393017,298612,298612,7392,99999,100001,34783
1780853163.697678,58403017,298612,298612,7392,101000,110000,34783
1780853164.697774,59403017,298612,298612,7392,100000,100001,34783
1780853165.697696,60403017,298612,298612,7392,100000,100001,34782
1780853166.708444,61413018,298612,298612,7392,101000,110000,34783
1780853167.707777,62413018,298612,298612,7392,100000,100001,34782
1780853168.717585,63423017,298612,298612,7392,100999,109999,34783
1780853169.717560,64423017,298612,298612,7392,100000,100001,34783
1780853170.718360,65423017,298612,298612,7392,100000,100001,34783
1780853171.727696,66433017,298612,298612,7392,101000,110001,34783
1780853172.727894,67433017,298612,298612,7392,100000,100001,34783
1780853173.727590,68433017,298612,298612,7392,100000,100001,34783
1780853174.736833,69443017,298612,298612,7392,101000,110000,34783
1780853175.738382,70443017,298612,298612,7392,100000,100000,34783
1780853176.737590,71443017,298612,298612,7392,100000,100001,34783
1780853177.747905,72453017,298612,298612,7392,101000,110000,34783
1780853178.747519,73453017,298612,298612,7392,100000,100002,34783
1780853179.757592,74463016,298612,298612,7392,100999,110000,34782
1780853180.757633,75463017,298612,298612,7392,100000,100001,34782
1780853181.757608,76463017,298612,298612,7392,100000,100001,34783
1780853182.768133,77473017,298612,298612,7392,101000,110000,34783
1780853183.767641,78473017,298612,298612,7392,100000,100001,34783
1780853184.768577,79473017,298612,298612,7392,100000,100000,34783
1780853185.777637,80483017,298612,298612,7392,101000,110000,34783
1780853186.778163,81483017,298612,298612,7392,100000,100000,34783
