host_ts,esp_t_us,free_heap,min_free_heap,stack_hwm,avg_period_us,max_period_us,avg_read_us
1780854778.323300,1673043017,298612,298612,7392,100000,100001,34783
1780854779.323092,1674043017,298612,298612,7392,100000,100000,34783
1780854780.334256,1675053017,298612,298612,7392,101000,110000,34782
1780854781.334600,1676053017,298612,298612,7392,100000,100001,34783
1780854782.332997,1677053017,298612,298612,7392,100000,100001,34782
1780854783.342851,1678063017,298612,298612,7392,101000,110001,34782
1780854784.343540,1679063017,298612,298612,7392,100000,100001,34782
1780854785.353633,1680073017,298612,298612,7392,101000,110000,34782
1780854786.354259,1681073017,298612,298612,7392,100000,100000,34783
1780854787.353060,1682073017,298612,298612,7392,100000,100001,34782
1780854788.363328,1683083017,298612,298612,7392,101000,110000,34783
1780854789.365542,1684083017,298612,298612,7392,100000,100000,34783
1780854790.364065,1685083017,298612,298612,7392,100000,100000,34783
1780854791.372882,1686093017,298612,298612,7392,101000,110000,34783
1780854792.375199,1687093017,298612,298612,7392,100000,100001,34782
1780854793.383241,1688103017,298612,298612,7392,101000,110000,34782
1780854794.385563,1689103017,298612,298612,7392,100000,100000,34783
1780854795.385855,1690103017,298612,298612,7392,100000,100001,34783
1780854796.392942,1691113017,298612,298612,7392,101000,109999,34782
1780854797.394629,1692113017,298612,298612,7392,100000,100001,34782
1780854798.393017,1693113017,298612,298612,7392,100000,100000,34783
1780854799.403775,1694123017,298612,298612,7392,101000,110000,34782
1780854800.404028,1695123017,298612,298612,7392,100000,100001,34782
1780854801.413174,1696133017,298612,298612,7392,101000,110000,34782
1780854802.413800,1697133017,298612,298612,7392,100000,100001,34782
1780854803.414644,1698133017,298612,298612,7392,100000,100001,34783
1780854804.424510,1699143017,298612,298612,7392,101000,110000,34783
1780854805.425186,1700143017,298612,298612,7392,100000,100001,34782
1780854806.424314,1701143017,298612,298612,7392,100000,100001,34782
1780854807.433178,1702153017,298612,298612,7392,101000,110000,34782
1780854808.433879,1703153017,298612,298612,7392,100000,100000,34783
1780854809.433022,1704153017,298612,298612,7392,100000,100001,34782
1780854810.443123,1705163018,298612,298612,7392,101000,110000,34783
1780854811.543105,1706263017,298612,298612,7392,99999,100001,34782
1780854812.553472,1707273016,298612,298612,7392,100999,110001,34782
1780854813.553720,1708273017,298612,298612,7392,100000,100001,34782
1780854814.553435,1709273017,298612,298612,7392,100000,100002,34782
1780854815.562973,1710283017,298612,298612,7392,101000,110000,34783
