host_ts,esp_t_us,free_heap,min_free_heap,stack_hwm,avg_period_us,max_period_us,avg_read_us
1781188497.790894,41903701,161392,157520,20832,98878,102642,35566
1781188498.788629,42903701,161392,157520,20832,100000,101182,34936
1781188505.167762,49283701,161392,157520,20832,98942,102658,35062
1781188506.167387,50283701,161260,157520,20832,100000,102620,35176
1781188513.338179,57453879,161272,157520,20832,98674,107746,35694
1781188514.340255,58453955,161272,157520,20832,100007,100254,34848
1781188518.909764,63026117,161272,157304,20832,99076,102338,35109
1781188520.007735,64123701,161272,157304,20832,99780,103406,35558
1781188521.100916,65213784,161272,157304,20832,99098,106532,34951
1781188526.880853,70996471,161272,157304,20832,99502,102325,35258
1781188527.977283,72093701,161272,157304,20832,99748,102840,35257
1781188532.947829,77063701,161272,157304,20832,98884,100637,34860
1781188533.949603,78065829,161260,157304,20832,100212,104983,35454
1781188539.388902,83503705,161272,157304,20832,98766,103316,35312
1781188540.391430,84506610,161272,157304,20832,100290,106050,35951
1781188545.137324,89253701,161272,157304,20832,98647,101140,35006
1781188546.137139,90253701,161272,157304,20832,100000,105141,35234
