host_ts,esp_t_us,free_heap,min_free_heap,stack_hwm,avg_period_us,max_period_us,avg_read_us
1780854911.613290,1806333018,298612,298612,7392,100000,100002,34782
1780854912.715128,1807433016,298612,298612,7392,99999,100001,34782
1780854913.724164,1808443017,298612,298612,7392,101000,110001,34782
1780854914.722546,1809443017,298612,298612,7392,100000,100001,34782
1780854915.831872,1810553017,298612,298612,7392,100909,110001,34782
1780854916.931930,1811653016,298612,298612,7392,99999,100001,34782
1780854917.932582,1812653016,298612,298612,7392,100000,100001,34782
1780854918.942089,1813663016,298612,298612,7392,101000,109999,34782
1780854919.943374,1814663016,298612,298612,7392,100000,100001,34782
1780854920.942229,1815663016,298612,298612,7392,100000,100001,34782
1780854921.952814,1816673016,298612,298612,7392,101000,109999,34782
1780854922.952978,1817673017,298612,298612,7392,100000,100001,34782
1780854923.951979,1818673017,298612,298612,7392,100000,100001,34782
1780854924.963038,1819683017,298612,298612,7392,101000,110000,34783
1780854925.963802,1820683017,298612,298612,7392,100000,100001,34783
1780854926.972932,1821693017,298612,298612,7392,101000,110000,34783
1780854927.973512,1822693017,298612,298612,7392,100000,100001,34783
1780854929.073792,1823793017,298612,298612,7392,100000,100001,34782
1780854930.082759,1824803017,298612,298612,7392,101000,109999,34782
1780854931.084332,1825803017,298612,298612,7392,100000,100001,34782
1780854932.092666,1826813017,298612,298612,7392,101000,110000,34782
1780854933.092733,1827813017,298612,298612,7392,100000,100001,34782
1780854934.093435,1828813017,298612,298612,7392,100000,100001,34782
1780854935.102081,1829823017,298612,298612,7392,101000,110000,34782
1780854936.102873,1830823018,298612,298612,7392,100000,100001,34783
1780854937.202374,1831923016,298612,298612,7392,99999,100001,34782
1780854938.213329,1832933017,298612,298612,7392,101000,110000,34783
1780854939.212966,1833933017,298612,298612,7392,100000,100000,34783
1780854940.323805,1835043016,298612,298612,7392,100909,110000,34782
1780854941.325896,1836043017,298612,298612,7392,100000,100001,34782
1780854942.323108,1837043017,298612,298612,7392,100000,100001,34782
1780854943.332830,1838053017,298612,298612,7392,101000,110001,34782
1780854944.332055,1839053017,298612,298612,7392,100000,100001,34782
1780854945.332584,1840053017,298612,298612,7392,100000,100001,34782
1780854946.341293,1841063016,298612,298612,7392,100999,110000,34782
1780854947.341898,1842063017,298612,298612,7392,100000,100001,34782
1780854948.342211,1843063017,298612,298612,7392,100000,100001,34782
1780854949.352026,1844073017,298612,298612,7392,101000,109999,34782
1780854950.352126,1845073017,298612,298612,7392,100000,100001,34782
1780854951.362221,1846083017,298612,298612,7392,101000,109999,34782
1780854952.461779,1847183016,298612,298612,7392,99999,100001,34782
1780854953.461396,1848183016,298612,298612,7392,100000,100001,34782
1780854954.471351,1849193016,298612,298612,7392,101000,110000,34782
1780854955.471855,1850193016,298612,298612,7392,100000,100001,34782
1780854956.472341,1851193016,298612,298612,7392,100000,100001,34782
1780854957.481101,1852203016,298612,298612,7392,101000,110000,34782
1780854958.481586,1853203017,298612,298612,7392,100000,100001,34783
1780854959.491397,1854213017,298612,298612,7392,101000,110001,34783
1780854960.591834,1855313016,298612,298612,7392,99999,100001,34782
1780854961.596169,1856313017,298612,298612,7392,100000,100001,34783
1780854962.602207,1857323017,298612,298612,7392,101000,110000,34782
1780854963.601868,1858323017,298612,298612,7392,100000,100001,34782
1780854964.601969,1859323017,298612,298612,7392,100000,100001,34782
1780854965.611632,1860333016,298612,298612,7392,100999,109999,34782
1780854966.611800,1861333017,298612,298612,7392,100000,100001,34782
