host_ts,esp_t_us,free_heap,min_free_heap,stack_hwm,avg_period_us,max_period_us,avg_read_us
1780854597.664549,1492383017,298612,298612,7392,101000,109999,34783
1780854598.664425,1493383017,298612,298612,7392,100000,100001,34782
1780854599.664858,1494383017,298612,298612,7392,100000,100000,34783
1780854600.674671,1495393017,298612,298612,7392,101000,110000,34783
1780854601.675972,1496393017,298612,298612,7392,100000,100000,34783
1780854602.674402,1497393017,298612,298612,7392,100000,100001,34782
1780854603.684538,1498403018,298612,298612,7392,101000,109999,34783
1780854604.786515,1499503017,298612,298612,7392,99999,100000,34783
1780854605.797225,1500513017,298612,298612,7392,101000,110001,34782
1780854606.794320,1501513017,298612,298612,7392,100000,100001,34783
1780854607.895139,1502613017,298612,298612,7392,100000,100001,34783
1780854608.905653,1503623017,298612,298612,7392,101000,110000,34783
1780854609.904810,1504623017,298612,298612,7392,100000,100001,34783
1780854610.904771,1505623017,298612,298612,7392,100000,100000,34783
1780854611.914474,1506633017,298612,298612,7392,101000,110000,34783
1780854612.914016,1507633017,298612,298612,7392,100000,100001,34783
1780854613.924742,1508643017,298612,298612,7392,101000,110000,34782
1780854614.924534,1509643017,298612,298612,7392,100000,100001,34783
1780854615.925027,1510643017,298612,298612,7392,100000,100001,34782
1780854616.935193,1511653017,298612,298612,7392,101000,110001,34782
1780854617.935051,1512653017,298612,298612,7392,100000,100001,34782
1780854618.935265,1513653017,298612,298612,7392,100000,100001,34782
1780854619.944574,1514663017,298612,298612,7392,101000,110000,34783
1780854620.945208,1515663017,298612,298612,7392,100000,100001,34782
1780854621.955319,1516673017,298612,298612,7392,101000,110000,34783
1780854623.056337,1517773017,298612,298612,7392,100000,100001,34782
1780854624.055928,1518773017,298612,298612,7392,100000,100001,34782
1780854625.064815,1519783017,298612,298612,7392,101000,110000,34783
1780854626.065245,1520783017,298612,298612,7392,100000,100001,34782
1780854627.165075,1521883017,298612,298612,7392,100000,100001,34782
1780854628.175357,1522893018,298612,298612,7392,101000,110000,34783
1780854629.274752,1523993017,298612,298612,7392,99999,100001,34783
1780854630.285016,1525003017,298612,298612,7392,101000,110000,34783
1780854631.284631,1526003017,298612,298612,7392,100000,100001,34783
1780854632.286045,1527003017,298612,298612,7392,100000,100001,34782
1780854633.296396,1528013017,298612,298612,7392,101000,109999,34783
1780854634.295006,1529013017,298612,298612,7392,100000,100001,34782
1780854635.294171,1530013017,298612,298612,7392,100000,100001,34783
1780854636.304235,1531023017,298612,298612,7392,101000,110000,34783
1780854637.304975,1532023017,298612,298612,7392,100000,100001,34783
1780854638.314040,1533033017,298612,298612,7392,101000,110000,34783
1780854639.316276,1534033017,298612,298612,7392,100000,100001,34782
1780854640.414277,1535133017,298612,298612,7392,100000,100001,34782
1780854641.425742,1536143017,298612,298612,7392,101000,110000,34783
1780854642.425303,1537143018,298612,298612,7392,100000,100001,34783
1780854643.526915,1538243017,298612,298612,7392,99999,100000,34783
1780854644.535116,1539253016,298612,298612,7392,100999,110000,34782
1780854645.535493,1540253017,298612,298612,7392,100000,100001,34783
1780854646.544848,1541263017,298612,298612,7392,101000,110000,34783
1780854647.646410,1542363016,298612,298612,7392,99999,100000,34782
1780854648.645022,1543363017,298612,298612,7392,100000,100001,34783
1780854649.653640,1544373016,298612,298612,7392,100999,110000,34782
1780854650.654623,1545373017,298612,298612,7392,100000,100001,34783
1780854651.654916,1546373017,298612,298612,7392,100000,100001,34782
1780854652.665207,1547383017,298612,298612,7392,101000,110000,34783
1780854653.664900,1548383017,298612,298612,7392,100000,100001,34783
1780854654.676290,1549393018,298612,298612,7392,101000,110000,34783
1780854655.776378,1550493017,298612,298612,7392,99999,100002,34782
1780854656.773945,1551493017,298612,298612,7392,100000,100000,34783
1780854657.787171,1552503017,298612,298612,7392,101000,110000,34782
1780854658.787836,1553503017,298612,298612,7392,100000,100000,34783
1780854659.784373,1554503017,298612,298612,7392,100000,100001,34782
1780854660.795550,1555513017,298612,298612,7392,101000,110000,34782
1780854661.795831,1556513017,298612,298612,7392,100000,100001,34782
1780854662.804832,1557523017,298612,298612,7392,101000,110000,34783
1780854663.805682,1558523017,298612,298612,7392,100000,100000,34783
1780854664.906252,1559623017,298612,298612,7392,100000,100001,34783
